time,weather,temperature,usage
1/3/2025 8:00,阴天,8,78
1/3/2025 10:00,阴天,13,35
1/3/2025 12:00,阴天,20,72
1/3/2025 16:00,阴天,17,23
1/3/2025 18:00,阴天,15,45
1/3/2025 20:00,阴天,14,33
2/3/2025 8:00,阴天,10,71
2/3/2025 10:00,晴天,14,41
2/3/2025 12:00,晴天,22,81
2/3/2025 16:00,晴天,19,37
2/3/2025 18:00,晴天,17,44
2/3/2025 20:00,晴天,16,36
3/3/2025 8:00,晴天,14,85
3/3/2025 10:00,晴天,20,46
3/3/2025 12:00,晴天,25,83
3/3/2025 16:00,晴天,22,52
3/3/2025 18:00,晴天,18,59
3/3/2025 20:00,阴天,16,32
4/3/2025 8:00,阴天,10,29
4/3/2025 10:00,雨天,11,11
4/3/2025 12:00,雨天,15,23
4/3/2025 16:00,雨天,15,10
4/3/2025 18:00,雨天,13,19
4/3/2025 20:00,雨天,11,20
5/3/2025 8:00,阴天,8,78
5/3/2025 10:00,阴天,13,35
5/3/2025 12:00,阴天,20,72
5/3/2025 16:00,阴天,17,23
5/3/2025 18:00,阴天,15,45
5/3/2025 20:00,阴天,14,33
6/3/2025 8:00,阴天,10,71
6/3/2025 10:00,晴天,14,41
6/3/2025 12:00,晴天,22,81
6/3/2025 16:00,晴天,19,37
6/3/2025 18:00,晴天,17,44
6/3/2025 20:00,晴天,16,36
7/3/2025 8:00,晴天,14,85
7/3/2025 10:00,晴天,20,46
7/3/2025 12:00,晴天,25,83
7/3/2025 16:00,晴天,22,52
7/3/2025 18:00,晴天,18,59
7/3/2025 20:00,阴天,16,32
8/3/2025 8:00,阴天,10,29
8/3/2025 10:00,雨天,11,11
8/3/2025 12:00,雨天,15,23
8/3/2025 16:00,雨天,15,10
8/3/2025 18:00,雨天,13,19
8/3/2025 20:00,雨天,11,20
9/3/2025 8:00,阴天,8,78
9/3/2025 10:00,阴天,13,35
9/3/2025 12:00,阴天,20,72
9/3/2025 16:00,阴天,17,23
9/3/2025 18:00,阴天,15,45
9/3/2025 20:00,阴天,14,33
10/3/2025 8:00,阴天,10,71
10/3/2025 10:00,晴天,14,41
10/3/2025 12:00,晴天,22,81
10/3/2025 16:00,晴天,19,37
10/3/2025 18:00,晴天,17,44
10/3/2025 20:00,晴天,16,36
11/3/2025 8:00,晴天,14,85
11/3/2025 10:00,晴天,20,46
11/3/2025 12:00,晴天,25,83
11/3/2025 16:00,晴天,22,52
11/3/2025 18:00,晴天,18,59
11/3/2025 20:00,阴天,16,32
12/3/2025 8:00,阴天,10,29
12/3/2025 10:00,雨天,11,11
12/3/2025 12:00,雨天,15,23
12/3/2025 16:00,雨天,15,10
12/3/2025 18:00,雨天,13,19
12/3/2025 20:00,雨天,11,20
13/3/2025 8:00,阴天,8,78
13/3/2025 10:00,阴天,13,35
13/3/2025 12:00,阴天,20,72
13/3/2025 16:00,阴天,17,23
13/3/2025 18:00,阴天,15,45
13/3/2025 20:00,阴天,14,33
14/3/2025 8:00,阴天,10,71
14/3/2025 10:00,晴天,14,41
14/3/2025 12:00,晴天,22,81
14/3/2025 16:00,晴天,19,37
14/3/2025 18:00,晴天,17,44
14/3/2025 20:00,晴天,16,36
15/3/2025 8:00,晴天,14,85
15/3/2025 10:00,晴天,20,46
15/3/2025 12:00,晴天,25,83
15/3/2025 16:00,晴天,22,52
15/3/2025 18:00,晴天,18,59
15/3/2025 20:00,阴天,16,32
16/3/2025 8:00,阴天,10,29
16/3/2025 10:00,雨天,11,11
16/3/2025 12:00,雨天,15,23
16/3/2025 16:00,雨天,15,10
16/3/2025 18:00,雨天,13,19
16/3/2025 20:00,雨天,11,20